iter	Passed	Remaining
544	1048	875
545	1050	873
546	1051	870
547	1052	868
548	1053	865
549	1054	862
550	1056	861
551	1058	858
552	1059	856
553	1061	854
554	1062	851
555	1063	849
556	1065	847
557	1066	844
558	1067	842
559	1068	839
560	1069	837
561	1071	835
562	1073	832
563	1074	830
564	1075	828
565	1076	825
566	1078	823
567	1079	821
568	1081	818
569	1082	816
570	1083	814
571	1085	811
572	1086	809
573	1088	807
574	1089	805
575	1090	802
576	1092	800
577	1093	798
578	1095	796
579	1096	794
580	1097	791
581	1099	789
582	1100	787
583	1102	785
584	1103	783
585	1105	780
586	1106	778
587	1108	776
588	1109	774
589	1110	771
590	1112	769
591	1113	767
592	1114	764
593	1116	763
594	1118	761
595	1119	758
596	1120	756
597	1122	754
598	1123	752
599	1124	749
600	1126	747
601	1127	745
602	1128	743
603	1130	740
604	1131	738
605	1132	736
606	1133	734
607	1134	731
608	1135	729
609	1136	726
610	1137	724
611	1139	722
612	1140	719
613	1141	717
614	1142	715
615	1143	713
616	1145	711
617	1147	709
618	1148	707
619	1150	705
620	1151	702
621	1152	700
622	1154	698
623	1155	696
624	1156	693
625	1157	691
626	1158	689
627	1159	687
628	1160	684
629	1162	682
630	1163	680
631	1164	678
632	1165	675
633	1166	673
634	1168	671
635	1169	669
636	1170	666
637	1171	664
638	1172	662
639	1173	660
640	1174	657
641	1175	655
642	1177	653
643	1179	651
644	1180	649
645	1181	647
646	1183	645
647	1184	643
648	1185	641
649	1187	639
650	1188	637
651	1189	635
652	1191	632
653	1192	631
654	1194	629
655	1195	627
656	1197	625
657	1198	622
658	1199	620
659	1200	618
660	1201	616
661	1203	614
662	1204	612
663	1205	610
664	1207	608
665	1208	606
666	1210	604
667	1211	601
668	1212	600
669	1214	598
670	1215	595
671	1216	593
672	1218	591
673	1219	590
674	1221	588
675	1223	586
676	1224	584
677	1225	582
678	1227	580
679	1228	578
680	1230	576
681	1231	574
682	1232	571
683	1233	569
684	1234	567
685	1236	565
686	1237	563
687	1239	561
688	1240	559
689	1241	557
690	1242	555
691	1243	553
692	1245	551
693	1246	549
694	1247	547
695	1249	545
696	1250	543
697	1253	542
698	1254	540
699	1256	538
700	1257	536
701	1258	534
702	1259	532
703	1261	530
704	1262	528
705	1263	526
706	1264	524
707	1266	522
708	1268	520
709	1270	518
710	1271	516
711	1273	514
712	1274	512
713	1275	511
714	1277	509
715	1278	507
716	1280	505
717	1281	503
718	1283	501
719	1284	499
720	1285	497
721	1287	495
722	1288	493
723	1289	491
724	1291	489
725	1292	487
726	1293	485
727	1294	483
728	1296	481
729	1297	479
730	1299	478
731	1300	476
732	1301	474
733	1302	471
734	1303	469
735	1304	467
736	1305	466
737	1307	464
738	1308	461
739	1309	460
740	1310	458
741	1312	456
742	1313	454
743	1314	452
744	1315	450
745	1317	448
746	1318	446
747	1319	444
748	1321	442
749	1322	440
750	1323	438
751	1324	436
752	1325	434
753	1326	432
754	1328	431
755	1330	429
756	1331	427
757	1332	425
758	1333	423
759	1335	421
760	1336	419
761	1337	417
762	1338	415
763	1339	413
764	1341	412
765	1343	410
766	1345	408
767	1346	406
768	1347	404
769	1348	402
770	1349	400
771	1350	398
772	1351	397
773	1353	395
774	1354	393
775	1355	391
776	1356	389
777	1358	387
778	1360	385
779	1361	383
780	1362	381
781	1363	380
782	1364	378
783	1366	376
784	1367	374
785	1368	372
786	1369	370
787	1370	368
788	1371	366
789	1373	365
790	1375	363
791	1376	361
792	1378	359
793	1379	357
794	1381	356
795	1382	354
796	1383	352
797	1385	350
798	1386	348
799	1389	347
800	1390	345
801	1391	343
802	1393	341
803	1394	339
804	1395	338
805	1397	336
806	1398	334
807	1399	332
808	1400	330
809	1402	328
810	1403	327
811	1405	325
812	1406	323
813	1408	321
814	1409	320
815	1411	318
816	1412	316
817	1413	314
818	1414	312
819	1416	310
820	1417	309
821	1418	307
822	1420	305
823	1421	303
824	1422	301
825	1423	299
826	1424	298
827	1425	296
828	1427	294
829	1428	292
830	1430	290
831	1431	289
832	1433	287
833	1435	285
834	1436	283
835	1437	282
836	1439	280
837	1440	278
838	1441	276
839	1442	274
840	1443	272
841	1445	271
842	1446	269
843	1447	267
844	1448	265
845	1450	264
846	1451	262
847	1452	260
848	1453	258
849	1454	256
850	1456	254
851	1457	253
852	1458	251
853	1459	249
854	1461	247
855	1462	246
856	1463	244
857	1465	242
858	1466	240
859	1467	238
860	1468	237
861	1470	235
862	1471	233
863	1472	231
864	1473	230
865	1475	228
866	1476	226
867	1477	224
868	1479	223
869	1480	221
870	1482	219
871	1483	217
872	1485	216
873	1486	214
874	1488	212
875	1489	210
876	1490	209
877	1492	207
878	1494	205
879	1496	204
880	1498	202
881	1499	200
882	1500	198
883	1502	197
884	1503	195
885	1504	193
886	1505	191
887	1507	190
888	1508	188
889	1510	186
890	1512	184
891	1513	183
892	1514	181
893	1515	179
894	1516	177
895	1517	176
896	1518	174
897	1520	172
898	1521	170
899	1522	169
900	1524	167
901	1525	165
902	1526	164
903	1527	162
904	1529	160
905	1530	158
906	1531	157
907	1532	155
908	1533	153
909	1535	151
910	1536	150
911	1538	148
912	1539	146
913	1540	144
914	1542	143
915	1543	141
916	1545	139
917	1546	138
918	1547	136
919	1548	134
920	1549	132
921	1551	131
922	1552	129
923	1554	127
924	1555	126
925	1557	124
926	1558	122
927	1559	121
928	1560	119
929	1561	117
930	1562	115
931	1564	114
932	1565	112
933	1566	110
934	1567	108
935	1569	107
936	1570	105
937	1571	103
938	1573	102
939	1574	100
940	1576	98
941	1577	97
942	1578	95
943	1579	93
944	1580	92
945	1581	90
946	1582	88
947	1584	86
948	1585	85
949	1587	83
950	1588	81
951	1589	80
952	1590	78
953	1591	76
954	1593	75
955	1594	73
956	1595	71
957	1597	70
958	1598	68
959	1600	66
960	1601	65
961	1603	63
962	1604	61
963	1605	59
964	1607	58
965	1608	56
966	1609	54
967	1611	53
968	1612	51
969	1614	49
970	1615	48
971	1616	46
972	1618	44
973	1619	43
974	1621	41
975	1622	39
976	1623	38
977	1625	36
978	1626	34
979	1627	33
980	1629	31
981	1630	29
982	1632	28
983	1633	26
984	1634	24
985	1635	23
986	1636	21
987	1638	19
988	1639	18
989	1640	16
990	1641	14
991	1642	13
992	1644	11
993	1645	9
994	1646	8
995	1647	6
996	1648	4
997	1649	3
998	1651	1
999	1652	0
